name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,car_age,brand,model,km_driven_bin
Hyundai Verna 1.6 VTVT SX,2015,760000,55340,Petrol,Trustmark Dealer,Manual,First Owner,8,Hyundai,Verna 1.6 VTVT SX,Medium
Maruti Swift Dzire VDI,2017,600000,46507,Diesel,Trustmark Dealer,Manual,First Owner,6,Maruti,Swift Dzire VDI,Low
Renault Duster 85PS Diesel RxL,2013,450000,1000,Diesel,Dealer,Manual,Second Owner,10,Renault,Duster 85PS Diesel RxL,Low
Mercedes-Benz C-Class Progressive C 220d,2018,3800000,10000,Diesel,Dealer,Automatic,First Owner,5,Mercedes-Benz,C-Class Progressive C 220d,Low
Audi A4 3.0 TDI Quattro,2013,1580000,86000,Diesel,Dealer,Automatic,First Owner,10,Audi,A4 3.0 TDI Quattro,Medium
BMW X5 xDrive 30d xLine,2019,4950000,30000,Diesel,Dealer,Automatic,First Owner,4,BMW,X5 xDrive 30d xLine,Low
Hyundai Creta 1.6 CRDi SX,2016,535000,52600,Diesel,Individual,Manual,First Owner,7,Hyundai,Creta 1.6 CRDi SX,Medium
Maruti SX4 Vxi BSIV,2012,225000,110000,Petrol,Individual,Manual,Second Owner,11,Maruti,SX4 Vxi BSIV,High
Hyundai Grand i10 1.2 Kappa Magna AT,2017,550000,19890,Petrol,Dealer,Automatic,First Owner,6,Hyundai,Grand i10 1.2 Kappa Magna AT,Low
Maruti Swift ZXI BSIV,2016,670000,7104,Petrol,Trustmark Dealer,Manual,First Owner,7,Maruti,Swift ZXI BSIV,Low
Maruti Ertiga VXI,2015,625000,11918,Petrol,Trustmark Dealer,Manual,First Owner,8,Maruti,Ertiga VXI,Low
Hyundai Grand i10 Magna AT,2017,520000,10510,Petrol,Dealer,Automatic,First Owner,6,Hyundai,Grand i10 Magna AT,Low
Chevrolet Beat LT Option,2016,239000,41000,Petrol,Dealer,Manual,First Owner,7,Chevrolet,Beat LT Option,Low
Toyota Fortuner 4x2 AT,2017,2600000,47162,Diesel,Trustmark Dealer,Automatic,First Owner,6,Toyota,Fortuner 4x2 AT,Low
Maruti S-Cross Zeta DDiS 200 SH,2015,750000,45974,Diesel,Trustmark Dealer,Manual,First Owner,8,Maruti,S-Cross Zeta DDiS 200 SH,Low
Hyundai i10 Magna,2012,229999,49824,Petrol,Dealer,Manual,First Owner,11,Hyundai,i10 Magna,Low
Audi A6 2.0 TDI Premium Plus,2013,1300000,58500,Diesel,Dealer,Automatic,First Owner,10,Audi,A6 2.0 TDI Premium Plus,Medium
Hyundai Santro GS,2005,80000,56580,Petrol,Dealer,Manual,First Owner,18,Hyundai,Santro GS,Medium
Skoda Laura Ambiente 2.0 TDI CR MT,2012,385000,52000,Diesel,Dealer,Manual,First Owner,11,Skoda,Laura Ambiente 2.0 TDI CR MT,Medium
Hyundai Verna 1.6 VTVT SX,2015,760000,55340,Petrol,Trustmark Dealer,Manual,First Owner,8,Hyundai,Verna 1.6 VTVT SX,Medium
Maruti Swift Dzire VDI,2017,600000,46507,Diesel,Trustmark Dealer,Manual,First Owner,6,Maruti,Swift Dzire VDI,Low
Renault Duster 85PS Diesel RxL,2013,450000,1000,Diesel,Dealer,Manual,Second Owner,10,Renault,Duster 85PS Diesel RxL,Low
Mercedes-Benz C-Class Progressive C 220d,2018,3800000,10000,Diesel,Dealer,Automatic,First Owner,5,Mercedes-Benz,C-Class Progressive C 220d,Low
Audi A4 3.0 TDI Quattro,2013,1580000,86000,Diesel,Dealer,Automatic,First Owner,10,Audi,A4 3.0 TDI Quattro,Medium
BMW X5 xDrive 30d xLine,2019,4950000,30000,Diesel,Dealer,Automatic,First Owner,4,BMW,X5 xDrive 30d xLine,Low
Hyundai Creta 1.6 CRDi SX,2016,535000,52600,Diesel,Individual,Manual,First Owner,7,Hyundai,Creta 1.6 CRDi SX,Medium
Maruti SX4 Vxi BSIV,2012,225000,110000,Petrol,Individual,Manual,Second Owner,11,Maruti,SX4 Vxi BSIV,High
Hyundai Grand i10 1.2 Kappa Magna AT,2017,550000,19890,Petrol,Dealer,Automatic,First Owner,6,Hyundai,Grand i10 1.2 Kappa Magna AT,Low
Maruti Swift ZXI BSIV,2016,670000,7104,Petrol,Trustmark Dealer,Manual,First Owner,7,Maruti,Swift ZXI BSIV,Low
Maruti Ertiga VXI,2015,625000,11918,Petrol,Trustmark Dealer,Manual,First Owner,8,Maruti,Ertiga VXI,Low
Hyundai Grand i10 Magna AT,2017,520000,10510,Petrol,Dealer,Automatic,First Owner,6,Hyundai,Grand i10 Magna AT,Low
Chevrolet Beat LT Option,2016,239000,41000,Petrol,Dealer,Manual,First Owner,7,Chevrolet,Beat LT Option,Low
Toyota Fortuner 4x2 AT,2017,2600000,47162,Diesel,Trustmark Dealer,Automatic,First Owner,6,Toyota,Fortuner 4x2 AT,Low
Maruti S-Cross Zeta DDiS 200 SH,2015,750000,45974,Diesel,Trustmark Dealer,Manual,First Owner,8,Maruti,S-Cross Zeta DDiS 200 SH,Low
Hyundai i10 Magna,2012,229999,49824,Petrol,Dealer,Manual,First Owner,11,Hyundai,i10 Magna,Low
Audi A6 2.0 TDI Premium Plus,2013,1300000,58500,Diesel,Dealer,Automatic,First Owner,10,Audi,A6 2.0 TDI Premium Plus,Medium
Hyundai Santro GS,2005,80000,56580,Petrol,Dealer,Manual,First Owner,18,Hyundai,Santro GS,Medium
Skoda Laura Ambiente 2.0 TDI CR MT,2012,385000,52000,Diesel,Dealer,Manual,First Owner,11,Skoda,Laura Ambiente 2.0 TDI CR MT,Medium
Hyundai Verna 1.6 VTVT SX,2015,760000,55340,Petrol,Trustmark Dealer,Manual,First Owner,8,Hyundai,Verna 1.6 VTVT SX,Medium
Maruti Swift Dzire VDI,2017,600000,46507,Diesel,Trustmark Dealer,Manual,First Owner,6,Maruti,Swift Dzire VDI,Low
Hyundai i20 Sportz 1.2,2013,350000,50000,Petrol,Individual,Manual,Second Owner,10,Hyundai,i20 Sportz 1.2,Low
Maruti Alto 800 LXI,2014,114999,30000,Petrol,Individual,Manual,First Owner,9,Maruti,Alto 800 LXI,Low
Hyundai i20 Sportz 1.2,2013,380000,50000,Petrol,Individual,Manual,Second Owner,10,Hyundai,i20 Sportz 1.2,Low
Maruti Gypsy E MG410W ST,1995,95000,100000,Petrol,Individual,Manual,Second Owner,28,Maruti,Gypsy E MG410W ST,Medium
Mahindra Scorpio 1.99 S6 Plus,2016,900000,35000,Diesel,Individual,Manual,First Owner,7,Mahindra,Scorpio 1.99 S6 Plus,Low
Chevrolet Beat LT,2012,200999,90000,Petrol,Individual,Manual,Second Owner,11,Chevrolet,Beat LT,Medium
Maruti Omni E MPI STD BS IV,2014,229999,11451,Petrol,Individual,Manual,First Owner,9,Maruti,Omni E MPI STD BS IV,Low
Tata Nexon 1.5 Revotorq XZ,2019,800000,60000,Diesel,Individual,Manual,First Owner,4,Tata,Nexon 1.5 Revotorq XZ,Medium
Mahindra Verito 1.5 D4 BSIV,2012,150000,172000,Diesel,Individual,Manual,Second Owner,11,Mahindra,Verito 1.5 D4 BSIV,High
Maruti Swift VDI,2018,600000,60000,Diesel,Individual,Manual,First Owner,5,Maruti,Swift VDI,Medium
Chevrolet Tavera LS B3 7 Seats BSII,2005,150000,150000,Diesel,Individual,Manual,First Owner,18,Chevrolet,Tavera LS B3 7 Seats BSII,High
Chevrolet Optra Magnum 2.0 LS,2009,150000,66000,Diesel,Individual,Manual,First Owner,14,Chevrolet,Optra Magnum 2.0 LS,Medium
Maruti Eeco 5 Seater Standard BSIV,2019,380000,5000,Petrol,Individual,Manual,First Owner,4,Maruti,Eeco 5 Seater Standard BSIV,Low
Maruti Swift 1.3 VXi,2006,80000,66508,Petrol,Individual,Manual,Second Owner,17,Maruti,Swift 1.3 VXi,Medium
Honda Civic 1.8 MT Sport,2007,225000,55000,Petrol,Individual,Manual,Second Owner,16,Honda,Civic 1.8 MT Sport,Medium
Tata Nano Lx BSIV,2012,75000,29900,Petrol,Individual,Manual,First Owner,11,Tata,Nano Lx BSIV,Low
Tata Hexa XT 4X4,2017,1600000,3000,Diesel,Individual,Manual,First Owner,6,Tata,Hexa XT 4X4,Low
Tata Indica Vista Quadrajet VX,2012,185000,85000,Diesel,Individual,Manual,First Owner,11,Tata,Indica Vista Quadrajet VX,Medium
Mahindra Scorpio 2.6 CRDe SLE,2011,425000,50000,Diesel,Individual,Manual,First Owner,12,Mahindra,Scorpio 2.6 CRDe SLE,Low
Tata Indica Vista Aqua 1.4 TDI,2010,100000,120000,Diesel,Individual,Manual,Second Owner,13,Tata,Indica Vista Aqua 1.4 TDI,High
Maruti Zen Estilo LXI BSIII,2008,140000,90000,Petrol,Individual,Manual,Third Owner,15,Maruti,Zen Estilo LXI BSIII,Medium
Maruti Swift Dzire AMT ZXI Plus BS IV,2017,710000,8000,Petrol,Individual,Automatic,First Owner,6,Maruti,Swift Dzire AMT ZXI Plus BS IV,Low
Honda Amaze S AT i-Vtech,2015,450000,7900,Petrol,Individual,Automatic,First Owner,8,Honda,Amaze S AT i-Vtech,Low
Datsun RediGO T Option,2017,210000,50000,Petrol,Individual,Manual,First Owner,6,Datsun,RediGO T Option,Low
Maruti Alto K10 VXI,2016,270000,25000,Petrol,Individual,Manual,First Owner,7,Maruti,Alto K10 VXI,Low
Maruti Alto LXi,2009,110000,20000,Petrol,Individual,Manual,First Owner,14,Maruti,Alto LXi,Low
Maruti Swift VXI,2018,540000,17500,Petrol,Individual,Manual,First Owner,5,Maruti,Swift VXI,Low
Mahindra Renault Logan 1.4 GLX Petrol,2008,145000,25000,Petrol,Individual,Manual,First Owner,15,Mahindra,Renault Logan 1.4 GLX Petrol,Low
Tata Safari Storme VX,2013,360000,206500,Diesel,Individual,Manual,First Owner,10,Tata,Safari Storme VX,High
Hyundai i10 Magna LPG,2013,250000,88600,LPG,Individual,Manual,First Owner,10,Hyundai,i10 Magna LPG,Medium
Tata Venture EX,2012,110000,80000,Diesel,Individual,Manual,First Owner,11,Tata,Venture EX,Medium
Chevrolet Captiva LT,2008,250000,100000,Diesel,Individual,Manual,Fourth & Above Owner,15,Chevrolet,Captiva LT,Medium
Ford Fiesta Classic 1.4 Duratorq CLXI,2011,150000,186000,Diesel,Individual,Manual,Second Owner,12,Ford,Fiesta Classic 1.4 Duratorq CLXI,High
Chevrolet Aveo U-VA 1.2 LS,2010,140000,60000,Petrol,Individual,Manual,First Owner,13,Chevrolet,Aveo U-VA 1.2 LS,Medium
Maruti Ciaz Zeta BSIV,2019,925000,11000,Petrol,Individual,Manual,First Owner,4,Maruti,Ciaz Zeta BSIV,Low
Tata Hexa XM,2017,969999,30000,Diesel,Individual,Manual,First Owner,6,Tata,Hexa XM,Low
Hyundai Santro Xing GL PLUS CNG,2007,90000,80000,CNG,Individual,Manual,Third Owner,16,Hyundai,Santro Xing GL PLUS CNG,Medium
Hyundai Santro GLS I - Euro I,2001,55000,60000,Petrol,Individual,Manual,Third Owner,22,Hyundai,Santro GLS I - Euro I,Medium
Hyundai Verna CRDi,2007,155000,100000,Diesel,Individual,Manual,Fourth & Above Owner,16,Hyundai,Verna CRDi,Medium
Mahindra Thar CRDe ABS,2019,900000,15000,Diesel,Individual,Manual,First Owner,4,Mahindra,Thar CRDe ABS,Low
Maruti Alto K10 2010-2014 VXI,2011,135000,90000,Petrol,Individual,Manual,First Owner,12,Maruti,Alto K10 2010-2014 VXI,Medium
Maruti 800 AC,2012,180000,120000,Petrol,Individual,Manual,First Owner,11,Maruti,800 AC,High
Hyundai Verna 1.6 SX,2013,495000,100000,Diesel,Individual,Manual,Second Owner,10,Hyundai,Verna 1.6 SX,Medium
Toyota Innova 2.5 V Diesel 8-seater,2009,400000,138000,Diesel,Individual,Manual,Third Owner,14,Toyota,Innova 2.5 V Diesel 8-seater,High
Hyundai Verna CRDi,2008,250000,110000,Diesel,Individual,Manual,Second Owner,15,Hyundai,Verna CRDi,High
Maruti Alto K10 LXI,2015,138000,120000,Petrol,Individual,Manual,Fourth & Above Owner,8,Maruti,Alto K10 LXI,High
Honda City 1.5 V AT,2011,311000,70000,Petrol,Individual,Automatic,Second Owner,12,Honda,City 1.5 V AT,Medium
Maruti Alto 800 VXI,2015,190000,70000,Petrol,Individual,Manual,First Owner,8,Maruti,Alto 800 VXI,Medium
Mahindra Bolero SLX,2011,311000,140000,Diesel,Individual,Manual,First Owner,12,Mahindra,Bolero SLX,High
Maruti Ritz LXI,2009,300000,15000,Petrol,Individual,Manual,First Owner,14,Maruti,Ritz LXI,Low
Honda Jazz VX,2018,600000,20000,Petrol,Individual,Manual,First Owner,5,Honda,Jazz VX,Low
Mahindra Scorpio SLE BSIII,2009,550000,100000,Diesel,Individual,Manual,First Owner,14,Mahindra,Scorpio SLE BSIII,Medium
Skoda Rapid 1.6 MPI AT Elegance Plus,2015,600000,70000,Petrol,Individual,Automatic,First Owner,8,Skoda,Rapid 1.6 MPI AT Elegance Plus,Medium
Maruti Alto 800 VXI,2018,195000,5000,Petrol,Individual,Manual,First Owner,5,Maruti,Alto 800 VXI,Low
Tata Nano LX,2013,58000,27974,Petrol,Individual,Manual,First Owner,10,Tata,Nano LX,Low
Maruti Alto 800 VXI,2018,183000,40000,Petrol,Individual,Manual,First Owner,5,Maruti,Alto 800 VXI,Low
Maruti Zen Estilo 1.1 VXI BSIII,2007,95000,80000,Petrol,Individual,Manual,First Owner,16,Maruti,Zen Estilo 1.1 VXI BSIII,Medium
Maruti Wagon R LX Minor,2013,250000,38000,Petrol,Individual,Manual,First Owner,10,Maruti,Wagon R LX Minor,Low
Maruti Wagon R LX Minor,2013,250000,38000,Petrol,Individual,Manual,First Owner,10,Maruti,Wagon R LX Minor,Low
Tata Zest Revotron 1.2 XT,2014,400000,35000,Petrol,Individual,Manual,First Owner,9,Tata,Zest Revotron 1.2 XT,Low
Hyundai Verna 1.6 SX CRDi (O),2012,409999,60000,Diesel,Individual,Manual,Second Owner,11,Hyundai,Verna 1.6 SX CRDi (O),Medium
Skoda Octavia Classic 1.9 TDI MT,2004,120000,120000,Diesel,Individual,Manual,Second Owner,19,Skoda,Octavia Classic 1.9 TDI MT,High
Maruti Swift AMT VXI,2018,600000,18000,Petrol,Individual,Automatic,First Owner,5,Maruti,Swift AMT VXI,Low
Honda Amaze SX i-VTEC,2016,600000,10000,Petrol,Individual,Manual,First Owner,7,Honda,Amaze SX i-VTEC,Low
Mahindra XUV500 W6 2WD,2015,825000,90000,Diesel,Individual,Manual,Third Owner,8,Mahindra,XUV500 W6 2WD,Medium
Toyota Etios GD,2016,625000,80000,Diesel,Individual,Manual,Second Owner,7,Toyota,Etios GD,Medium
Hyundai Grand i10 Nios Magna CRDi,2020,700000,1400,Diesel,Individual,Manual,First Owner,3,Hyundai,Grand i10 Nios Magna CRDi,Low
Chevrolet Beat LS,2011,160000,60000,Petrol,Individual,Manual,First Owner,12,Chevrolet,Beat LS,Medium
Maruti Alto LX,2011,114999,60000,Petrol,Individual,Manual,Third Owner,12,Maruti,Alto LX,Medium
Maruti Wagon R LXI Minor,2009,150000,53000,Petrol,Individual,Manual,First Owner,14,Maruti,Wagon R LXI Minor,Medium
Volkswagen Jetta 1.9 L TDI,2010,250000,100000,Diesel,Dealer,Manual,First Owner,13,Volkswagen,Jetta 1.9 L TDI,Medium
Hyundai Verna 1.6 SX,2012,390000,86000,Diesel,Dealer,Manual,Second Owner,11,Hyundai,Verna 1.6 SX,Medium
Renault Duster 85PS Diesel RxL,2015,650000,100000,Diesel,Individual,Manual,First Owner,8,Renault,Duster 85PS Diesel RxL,Medium
Hyundai Xcent 1.1 CRDi SX Option,2016,600000,30000,Diesel,Individual,Manual,First Owner,7,Hyundai,Xcent 1.1 CRDi SX Option,Low
Hyundai i20 1.2 Sportz,2011,250000,120000,Petrol,Individual,Manual,First Owner,12,Hyundai,i20 1.2 Sportz,High
Hyundai Santro Xing GL Plus LPG,2011,229999,60000,LPG,Individual,Manual,Second Owner,12,Hyundai,Santro Xing GL Plus LPG,Medium
Maruti Ritz LDi,2016,299000,50000,Diesel,Individual,Manual,Second Owner,7,Maruti,Ritz LDi,Low
Chevrolet Cruze LTZ,2010,330000,124000,Diesel,Individual,Manual,Second Owner,13,Chevrolet,Cruze LTZ,High
Hyundai Accent Executive,2012,180000,100000,Petrol,Individual,Manual,Third Owner,11,Hyundai,Accent Executive,Medium
Hyundai Grand i10 1.2 Kappa Asta,2017,475000,42000,Petrol,Individual,Manual,First Owner,6,Hyundai,Grand i10 1.2 Kappa Asta,Low
Hyundai Grand i10 CRDi Sportz,2015,325000,100000,Diesel,Individual,Manual,First Owner,8,Hyundai,Grand i10 CRDi Sportz,Medium
Honda City i VTEC V,2016,639000,28205,Petrol,Dealer,Manual,First Owner,7,Honda,City i VTEC V,Low
Maruti Celerio VXI AT,2017,415000,32670,Petrol,Dealer,Automatic,First Owner,6,Maruti,Celerio VXI AT,Low
Hyundai Creta 1.6 CRDi AT SX Plus,2016,1199000,30093,Diesel,Dealer,Automatic,First Owner,7,Hyundai,Creta 1.6 CRDi AT SX Plus,Low
Maruti Ertiga VXI CNG,2013,525000,56228,CNG,Dealer,Manual,First Owner,10,Maruti,Ertiga VXI CNG,Medium
Hyundai Verna 1.6 SX VTVT,2013,425000,59319,Petrol,Dealer,Manual,First Owner,10,Hyundai,Verna 1.6 SX VTVT,Medium
Maruti Vitara Brezza VDi,2016,699000,39503,Diesel,Dealer,Manual,First Owner,7,Maruti,Vitara Brezza VDi,Low
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2013,325000,35299,Petrol,Dealer,Manual,First Owner,10,Hyundai,Grand i10 1.2 Kappa Sportz Dual Tone,Low
Toyota Etios V,2011,275000,51687,Petrol,Dealer,Manual,First Owner,12,Toyota,Etios V,Medium
Volkswagen Vento Petrol Highline AT,2011,269000,76259,Petrol,Dealer,Automatic,First Owner,12,Volkswagen,Vento Petrol Highline AT,Medium
Volkswagen Polo Diesel Highline 1.2L,2013,399000,44049,Diesel,Dealer,Manual,First Owner,10,Volkswagen,Polo Diesel Highline 1.2L,Low
Mahindra KUV 100 mFALCON D75 K8,2017,475000,45087,Diesel,Dealer,Manual,First Owner,6,Mahindra,KUV 100 mFALCON D75 K8,Low
Toyota Etios V,2011,249000,41125,Petrol,Dealer,Manual,First Owner,12,Toyota,Etios V,Low
Audi A4 New  2.0 TDI Multitronic,2014,1549000,42215,Diesel,Dealer,Automatic,First Owner,9,Audi,A4 New  2.0 TDI Multitronic,Low
Volkswagen Polo Petrol Highline 1.2L,2011,254999,54206,Petrol,Dealer,Manual,First Owner,12,Volkswagen,Polo Petrol Highline 1.2L,Medium
Skoda Rapid 1.6 MPI Active,2012,269000,52547,Petrol,Dealer,Manual,First Owner,11,Skoda,Rapid 1.6 MPI Active,Medium
Maruti Ertiga ZDI,2014,665000,59110,Diesel,Dealer,Manual,First Owner,9,Maruti,Ertiga ZDI,Medium
Maruti Wagon R Stingray LXI,2014,299000,54565,Petrol,Dealer,Manual,First Owner,9,Maruti,Wagon R Stingray LXI,Medium
Hyundai i20 Asta,2010,265000,47564,Petrol,Dealer,Manual,Second Owner,13,Hyundai,i20 Asta,Low
Volkswagen Polo Petrol Highline 1.2L,2010,211000,45143,Petrol,Dealer,Manual,Second Owner,13,Volkswagen,Polo Petrol Highline 1.2L,Low
Skoda Superb 1.8 TSI,2013,599000,61624,Petrol,Dealer,Automatic,Second Owner,10,Skoda,Superb 1.8 TSI,Medium
Tata Indigo LS,2007,55000,195000,Diesel,Individual,Manual,Third Owner,16,Tata,Indigo LS,High
Hyundai Verna 1.6 SX CRDi (O),2014,550000,50000,Diesel,Individual,Manual,First Owner,9,Hyundai,Verna 1.6 SX CRDi (O),Low
Land Rover Discovery Sport TD4 HSE 7S,2018,4000000,68000,Diesel,Individual,Automatic,First Owner,5,Land,Rover Discovery Sport TD4 HSE 7S,Medium
Tata Sumo GX TC 8 Str,2010,220000,120000,Diesel,Individual,Manual,Second Owner,13,Tata,Sumo GX TC 8 Str,High
Maruti Swift VXI,2019,500000,20000,Petrol,Individual,Manual,First Owner,4,Maruti,Swift VXI,Low
Maruti Alto LXi,2010,140000,30000,Petrol,Individual,Manual,First Owner,13,Maruti,Alto LXi,Low
Maruti Swift VDI,2013,325000,60000,Diesel,Individual,Manual,First Owner,10,Maruti,Swift VDI,Medium
Hyundai i20 Magna,2010,210000,90000,Petrol,Individual,Manual,Third Owner,13,Hyundai,i20 Magna,Medium
Maruti Alto LXi,2008,110000,90000,Petrol,Individual,Manual,Second Owner,15,Maruti,Alto LXi,Medium
Hyundai Verna CRDi 1.6 SX Option,2019,1200000,25000,Diesel,Individual,Manual,First Owner,4,Hyundai,Verna CRDi 1.6 SX Option,Low
Maruti Alto 800 VXI,2017,229999,40000,Petrol,Individual,Manual,First Owner,6,Maruti,Alto 800 VXI,Low
Maruti SX4 Vxi BSIV,2012,225000,110000,Petrol,Individual,Manual,Second Owner,11,Maruti,SX4 Vxi BSIV,High
Maruti Alto 800 LXI,2006,165000,132000,Petrol,Individual,Manual,First Owner,17,Maruti,Alto 800 LXI,High
Tata Tiago XZA AMT,2018,525000,10980,Petrol,Dealer,Automatic,First Owner,5,Tata,Tiago XZA AMT,Low
Hyundai EON Era Plus,2018,325000,20629,Petrol,Dealer,Manual,First Owner,5,Hyundai,EON Era Plus,Low
Toyota Innova Crysta 2.4 VX MT BSIV,2018,1500000,50000,Diesel,Individual,Manual,First Owner,5,Toyota,Innova Crysta 2.4 VX MT BSIV,Low
Hyundai Grand i10 AT Asta,2015,400000,30000,Petrol,Individual,Automatic,First Owner,8,Hyundai,Grand i10 AT Asta,Low
Maruti Ciaz VXi,2015,550000,69782,Petrol,Dealer,Manual,First Owner,8,Maruti,Ciaz VXi,Medium
Maruti 800 Std,2003,98000,54000,Petrol,Individual,Manual,First Owner,20,Maruti,800 Std,Medium
Mahindra XUV500 W8 4WD,2013,900000,63654,Diesel,Dealer,Manual,First Owner,10,Mahindra,XUV500 W8 4WD,Medium
Renault Lodgy 85PS RxL,2017,700000,60000,Diesel,Individual,Manual,First Owner,6,Renault,Lodgy 85PS RxL,Medium
Mahindra Scorpio S6 Plus 7 Seater,2015,890000,52000,Diesel,Dealer,Manual,First Owner,8,Mahindra,Scorpio S6 Plus 7 Seater,Medium
Maruti Swift LDI BSIV,2015,490000,59385,Diesel,Dealer,Manual,First Owner,8,Maruti,Swift LDI BSIV,Medium
Hyundai i20 2015-2017 Magna 1.2,2015,525000,70378,Petrol,Dealer,Manual,First Owner,8,Hyundai,i20 2015-2017 Magna 1.2,Medium
Maruti Wagon R LXI BS IV,2013,330000,55425,Petrol,Dealer,Manual,First Owner,10,Maruti,Wagon R LXI BS IV,Medium
Mahindra Bolero 2011-2019 SLX 2WD BSIII,2013,550000,78413,Diesel,Dealer,Manual,Second Owner,10,Mahindra,Bolero 2011-2019 SLX 2WD BSIII,Medium
Mahindra Bolero Power Plus SLX,2018,790000,40890,Diesel,Dealer,Manual,First Owner,5,Mahindra,Bolero Power Plus SLX,Low
Honda Brio S MT,2015,350000,34823,Petrol,Dealer,Manual,Second Owner,8,Honda,Brio S MT,Low
Toyota Innova Crysta 2.8 ZX AT BSIV,2017,1700000,75000,Diesel,Individual,Automatic,First Owner,6,Toyota,Innova Crysta 2.8 ZX AT BSIV,Medium
Maruti Ciaz VDI SHVS,2017,750000,55545,Diesel,Dealer,Manual,First Owner,6,Maruti,Ciaz VDI SHVS,Medium
Honda Amaze EX i-Dtech,2014,409999,56541,Diesel,Dealer,Manual,First Owner,9,Honda,Amaze EX i-Dtech,Medium
Hyundai EON Magna Plus,2016,220000,43700,Petrol,Individual,Manual,First Owner,7,Hyundai,EON Magna Plus,Low
Tata Indica GLS BS IV,2009,68000,120000,Petrol,Individual,Manual,Second Owner,14,Tata,Indica GLS BS IV,High
Hyundai EON Era Plus,2017,290000,20000,Petrol,Individual,Manual,First Owner,6,Hyundai,EON Era Plus,Low
Honda City i DTec SV,2014,600000,27483,Diesel,Dealer,Manual,First Owner,9,Honda,City i DTec SV,Low
Maruti Swift LXI,2019,470000,8000,Petrol,Individual,Manual,First Owner,4,Maruti,Swift LXI,Low
Hyundai i10 Sportz 1.2,2008,150000,30000,Petrol,Individual,Manual,First Owner,15,Hyundai,i10 Sportz 1.2,Low
Maruti Alto 800 LXI,2014,180000,56207,Petrol,Dealer,Manual,Second Owner,9,Maruti,Alto 800 LXI,Medium
Maruti Zen LXI,2006,80000,70000,Petrol,Individual,Manual,First Owner,17,Maruti,Zen LXI,Medium
Honda WR-V i-VTEC VX,2018,875000,1440,Petrol,Individual,Manual,First Owner,5,Honda,WR-V i-VTEC VX,Low
Maruti Alto 800 LXI,2019,300000,50000,Petrol,Individual,Manual,First Owner,4,Maruti,Alto 800 LXI,Low
Toyota Fortuner 2.8 2WD AT BSIV,2017,2800000,20000,Diesel,Individual,Automatic,First Owner,6,Toyota,Fortuner 2.8 2WD AT BSIV,Low
Toyota Innova Crysta 2.4 ZX MT,2017,1330000,91195,Diesel,Dealer,Manual,First Owner,6,Toyota,Innova Crysta 2.4 ZX MT,Medium
Volkswagen Polo 1.5 TDI Trendline,2011,220000,63657,Diesel,Dealer,Manual,First Owner,12,Volkswagen,Polo 1.5 TDI Trendline,Medium
Mahindra Verito Vibe 1.5 dCi D4,2013,250000,60000,Diesel,Individual,Manual,First Owner,10,Mahindra,Verito Vibe 1.5 dCi D4,Medium
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,919999,75000,Diesel,Dealer,Manual,First Owner,7,Toyota,Innova 2.5 G (Diesel) 7 Seater,Medium
Volkswagen Vento Magnific 1.6 Highline,2013,380000,97248,Petrol,Dealer,Manual,First Owner,10,Volkswagen,Vento Magnific 1.6 Highline,Medium
Maruti Swift VDI,2012,450000,46000,Diesel,Individual,Manual,First Owner,11,Maruti,Swift VDI,Low
Hyundai Verna 1.6 VTVT AT S Option,2016,770000,10000,Petrol,Individual,Automatic,First Owner,7,Hyundai,Verna 1.6 VTVT AT S Option,Low
Maruti Swift Dzire LDI,2018,550000,80000,Diesel,Individual,Manual,First Owner,5,Maruti,Swift Dzire LDI,Medium
Tata New Safari DICOR 2.2 GX 4x2,2011,320000,100000,Diesel,Individual,Manual,Second Owner,12,Tata,New Safari DICOR 2.2 GX 4x2,Medium
Maruti SX4 Vxi BSIV,2013,400000,35000,Petrol,Individual,Manual,First Owner,10,Maruti,SX4 Vxi BSIV,Low
Maruti Celerio VXI AT,2017,450000,50000,Petrol,Individual,Automatic,First Owner,6,Maruti,Celerio VXI AT,Low
Maruti SX4 ZDI,2011,220000,90000,Diesel,Individual,Manual,Third Owner,12,Maruti,SX4 ZDI,Medium
Mahindra XUV500 W8 2WD,2012,400000,150000,Diesel,Individual,Manual,Second Owner,11,Mahindra,XUV500 W8 2WD,High
Hyundai Verna 1.6 SX VTVT (O),2013,530000,89000,Petrol,Individual,Manual,Second Owner,10,Hyundai,Verna 1.6 SX VTVT (O),Medium
Maruti Swift Dzire VDI,2014,390000,60000,Diesel,Individual,Manual,Second Owner,9,Maruti,Swift Dzire VDI,Medium
Fiat Grande Punto 1.3 Dynamic (Diesel),2012,185000,100000,Diesel,Individual,Manual,Second Owner,11,Fiat,Grande Punto 1.3 Dynamic (Diesel),Medium
Maruti SX4 Vxi BSIV,2012,300000,100000,Petrol,Individual,Manual,Second Owner,11,Maruti,SX4 Vxi BSIV,Medium
Maruti Swift VDI BSIV,2014,575000,90000,Diesel,Individual,Manual,Second Owner,9,Maruti,Swift VDI BSIV,Medium
Maruti Wagon R Stingray VXI,2014,300000,75000,Petrol,Individual,Manual,First Owner,9,Maruti,Wagon R Stingray VXI,Medium
